non_severe_asthma_with_recent_salbutamol_count,other_respiratory_conditions,heart_failure,other_heart_disease,diabetes,chronic_kidney_disease,chronic_liver_disease,other_neuro,psychosis_schiz_bipolar,asplenia,Count
0,0,0,1,1,1,1,0,0,0,67
0,1,1,0,1,0,0,0,1,0,66
0,1,1,1,1,1,0,0,0,0,66
1,0,1,0,0,1,0,0,0,0,65
1,1,0,0,0,0,0,0,0,1,63
1,1,1,1,0,0,0,1,0,0,59
1,1,0,0,0,1,0,0,0,0,58
1,0,1,0,1,1,0,0,0,0,58
1,1,1,1,1,0,0,1,0,0,58
0,0,0,0,1,1,0,1,0,0,56
1,0,1,1,0,1,0,0,0,0,51
0,0,0,0,1,0,1,0,0,1,49
0,1,0,0,0,0,0,1,1,0,48
0,1,1,1,1,0,0,0,1,0,48
0,0,0,0,0,0,0,1,0,1,47
1,1,0,0,1,1,0,0,0,0,46
0,1,1,1,0,1,0,0,0,0,45
1,1,1,1,1,0,1,0,0,0,44
0,1,0,1,1,0,0,0,0,1,41
1,1,1,0,0,0,0,1,0,0,41
0,1,1,0,0,1,0,0,0,0,41
0,1,0,0,1,0,0,0,0,1,40
0,0,0,1,0,1,0,1,0,0,40
0,0,0,1,0,1,1,0,0,0,39
0,0,0,0,0,0,0,0,1,1,38
0,0,1,1,0,0,0,1,1,0,37
1,1,1,0,1,0,0,1,0,0,34
0,0,1,1,1,0,1,1,0,0,33
0,0,1,0,0,0,0,1,1,0,33
1,0,0,0,1,0,1,0,1,0,32
1,0,1,1,0,0,0,0,0,1,31
0,0,0,0,1,1,0,0,0,1,31
0,1,0,0,0,0,1,1,0,0,30
0,1,1,0,1,1,0,0,0,0,29
0,0,1,0,0,0,1,1,0,0,29
1,0,1,1,1,0,0,0,0,1,29
1,0,0,0,1,0,0,1,1,0,28
0,0,0,1,1,1,0,1,0,0,28
1,1,1,0,1,0,1,0,0,0,28
1,1,1,0,0,0,1,0,0,0,28
1,1,0,0,1,0,0,0,0,1,28
0,1,1,1,0,0,0,0,0,1,27
1,0,0,0,0,0,1,1,0,0,27
1,0,1,0,1,0,0,0,0,1,26
0,0,0,1,0,1,0,0,1,0,26
0,0,1,1,1,1,1,0,0,0,25
0,0,0,1,1,1,0,0,1,0,25
0,0,1,1,1,0,1,0,1,0,25
1,0,1,0,0,0,0,0,0,1,25
0,0,1,1,0,0,1,1,0,0,23
0,0,0,1,0,0,1,0,0,1,23
1,1,0,1,0,0,0,0,0,1,23
1,1,1,0,1,0,0,0,1,0,23
